LAT Y LON:
Nodo 2055741440 -> [-12.069321, -77.0587126]
Nodo 2059583492 -> [-12.0751721, -77.0692361]
Nodo 1273506476 -> [-12.0637215, -77.0761031]
Nodo 4334261591 -> [-12.0750128, -77.0475788]
Nodo 2059583502 -> [-12.075329, -77.0690374]
Nodo 2059583503 -> [-12.0754139, -77.0677486]
Nodo 2059583504 -> [-12.0754169, -77.0687332]
Nodo 2059583505 -> [-12.075427, -77.0694801]
Nodo 690200579 -> [-12.05581, -77.0583269]
Nodo 2059583508 -> [-12.0754661, -77.0684104]
Nodo 2059583509 -> [-12.0754883, -77.0677558]
Nodo 2059583511 -> [-12.0755304, -77.0695171]
Nodo 263397380 -> [-12.0754842, -77.0439545]
Nodo 670367770 -> [-12.0727989, -77.0702579]
Nodo 670367771 -> [-12.0727209, -77.0695091]
Nodo 4143535451 -> [-12.0511517, -77.0409123]
Nodo 2053915161 -> [-12.0554717, -77.042982]
Nodo 2059583528 -> [-12.0756908, -77.0637529]
Nodo 1273987113 -> [-12.0691944, -77.0664131]
Nodo 2059583530 -> [-12.075957, -77.0687369]
Nodo 2059583532 -> [-12.0759807, -77.0686276]
Nodo 2059583534 -> [-12.0759966, -77.0685385]
Nodo 1273610289 -> [-12.0538395, -77.0789991]
Nodo 1624735795 -> [-12.0593791, -77.0749677]
Nodo 1624735796 -> [-12.0611011, -77.0745736]
Nodo 824049717 -> [-12.0554816, -77.0830609]
Nodo 824049718 -> [-12.0554936, -77.0828345]
Nodo 2059583544 -> [-12.0762894, -77.065313]
Nodo 2059583546 -> [-12.0763161, -77.0652785]
Nodo 638353467 -> [-12.0805142, -77.0627819]
Nodo 2055741701 -> [-12.0790711, -77.0571394]
Nodo 2059583554 -> [-12.0765719, -77.0669094]
Nodo 4200497163 -> [-12.0606095, -77.0797979]
Nodo 2059583566 -> [-12.0766215, -77.0677846]
Nodo 5478409332 -> [-12.0803311, -77.0619703]
Nodo 528023636 -> [-12.0671546, -77.0474066]
Nodo 2059583573 -> [-12.0767509, -77.0678137]
Nodo 2059583575 -> [-12.0768229, -77.0653857]
Nodo 2059583577 -> [-12.076842, -77.0696838]
Nodo 2059583578 -> [-12.0771064, -77.0710709]
Nodo 3962644901 -> [-12.0773423, -77.0817568]
Nodo 2055741456 -> [-12.0695058, -77.0592794]
Nodo 2059583586 -> [-12.0771769, -77.0673468]
Nodo 2059583588 -> [-12.0772286, -77.0673759]
Nodo 2059583590 -> [-12.0772903, -77.0652641]
Nodo 2059583592 -> [-12.0773347, -77.0658464]
Nodo 2059583593 -> [-12.0773942, -77.0657147]
Nodo 2059583594 -> [-12.0774511, -77.065667]
Nodo 2981888107 -> [-12.0695457, -77.0819055]
Nodo 2059583596 -> [-12.0776063, -77.0656062]
Nodo 606937106 -> [-12.0812649, -77.0761805]
Nodo 2981888110 -> [-12.0697437, -77.0816628]
Nodo 2981888111 -> [-12.0696624, -77.0819297]
Nodo 2981888112 -> [-12.0698316, -77.0819994]
Nodo 2981888113 -> [-12.0698833, -77.0821571]
Nodo 2981888114 -> [-12.072297, -77.0825156]
Nodo 2981888115 -> [-12.0688712, -77.0814143]
Nodo 2981888116 -> [-12.0684133, -77.0813436]
Nodo 2059583605 -> [-12.0777744, -77.0656168]
Nodo 2059583606 -> [-12.0778469, -77.0656485]
Nodo 2981888119 -> [-12.06667, -77.0812619]
Nodo 2059583608 -> [-12.0779736, -77.065749]
Nodo 2059583609 -> [-12.0780047, -77.0658152]
Nodo 263110778 -> [-12.065342, -77.0391401]
Nodo 1428455547 -> [-12.0826073, -77.0458773]
Nodo 263110780 -> [-12.0682138, -77.0396497]
Nodo 263110781 -> [-12.0687161, -77.0397954]
Nodo 263110782 -> [-12.0708032, -77.0407416]
Nodo 263110783 -> [-12.0709473, -77.0408089]
